ts,sim,code,name,decision,reason,price,change_rate,amount,adx,tick_power,posts,unique_posters,posts_per_poster,avg_posts,buzz_ratio,total_likes,likes_per_post,sov,z_posters,z_sov,z_likes,ignition,hype_score,fact_score,z_hype,d_sov,d_hype,accel,accel_d1,hist_missing,hist_days_ago,ignition4
2026-07-29 09:23:02,sim1,005930,삼성전자,skip,price_moved,231500.0,5.23,1421003781750.0,59.1,0.0,786.0,565.0,1.39,1.0,786.00,1125,1.43,0.4027,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:23:02,sim1,006340,대원전선,skip,cooldown,13840.0,1.76,53952505040.0,45.9,0.0,54.0,32.0,1.69,1.0,54.00,188,3.48,0.0277,,,,,0.100,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:23:02,sim1,475150,SK이터닉스,skip,price_moved,50200.0,3.08,70965979150.0,26.0,0.0,117.0,80.0,1.46,1.0,117.00,406,3.47,0.0599,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:23:02,sim1,000660,SK하이닉스,skip,price_moved,1597000.0,3.03,1768995975500.0,49.0,0.0,788.0,587.0,1.34,1.0,788.00,1035,1.31,0.4037,,,,,0.067,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:23:02,sim1,047040,대우건설,skip,no_ignition,13420.0,-0.07,6683662360.0,46.2,0.0,41.0,15.0,2.73,1.0,41.00,69,1.68,0.0210,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:23:02,sim1,073240,금호타이어,skip,no_ignition,5860.0,-1.01,2478343730.0,20.9,0.0,41.0,34.0,1.21,1.0,41.00,160,3.90,0.0210,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:23:02,sim1,217730,강스템바이오텍,skip,price_moved,2070.0,6.21,4799827354.0,50.9,0.0,51.0,34.0,1.50,1.0,51.00,268,5.25,0.0261,,,,,0.100,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:23:02,sim1,034020,두산에너빌리티,skip,cooldown,65900.0,1.85,20965358050.0,36.0,0.0,74.0,53.0,1.40,1.0,74.00,377,5.09,0.0379,,,,,0.000,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:32:59,sim1,005930,삼성전자,skip,price_moved,228000.0,3.64,1797023910000.0,59.1,0.0,791.0,556.0,1.42,1.0,791.00,1121,1.42,0.3807,,,,,0.000,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:32:59,sim1,006340,대원전선,skip,cooldown,13190.0,-3.01,67917300485.0,45.9,0.0,72.0,44.0,1.64,1.0,72.00,224,3.11,0.0346,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:32:59,sim1,475150,SK이터닉스,skip,no_ignition,47500.0,-2.46,101769405800.0,26.0,0.0,151.0,98.0,1.54,1.0,151.00,450,2.98,0.0727,,,,,0.033,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:32:59,sim1,000660,SK하이닉스,skip,no_ignition,1549000.0,-0.06,2376968935500.0,49.0,0.0,788.0,578.0,1.36,1.0,788.00,958,1.22,0.3792,,,,,0.000,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:32:59,sim1,047040,대우건설,skip,no_ignition,13050.0,-2.83,9093258625.0,46.2,0.0,47.0,20.0,2.35,1.0,47.00,87,1.85,0.0226,,,,,0.000,0.0,,0.000,0.000,0.000,0.000,1,,0.000
2026-07-29 09:32:59,sim1,217730,강스템바이오텍,skip,price_moved,2095.0,7.49,5512614184.0,50.9,0.0,62.0,41.0,1.51,1.0,62.00,314,5.06,0.0298,,,,,0.100,0.0,,0.000,0.000,0.000,0.000,1,,0.000
