timestamp,symbol,action,price,quantity,total_amount,reason
2026-04-13 02:02:52,빛과전자(069540),SELL,5120,58,296960,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:02:52,퍼스텍(010820),SELL,11340,26,294840,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:02:52,캡스톤파트너스(452300),SELL,4955,60,297300,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:02:52,머큐리(100590),SELL,9880,30,296400,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:02:52,다날(064260),SELL,8110,36,291960,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:02:52,조일알미늄(018470),BUY,1823,164,298972,상승기대
2026-04-13 02:02:52,흥아해운(003280),BUY,3410,87,296670,상승제한
2026-04-13 02:02:52,신성이엔지(011930),BUY,3755,79,296645,매수심리
2026-04-13 02:02:52,대한해운(005880),BUY,2920,102,297840,상승기대
2026-04-13 02:02:52,남선알미늄(008350),BUY,2750,109,299750,상한가기대
2026-04-13 02:02:52,퍼스텍(010820),BUY,11340,26,294840,혼조세
2026-04-13 02:02:52,대우건설(047040),BUY,24600,12,295200,수급우려
2026-04-13 02:02:52,삼성전자(005930),BUY,201500,1,201500,실적호조
2026-04-13 02:02:52,광전자(017900),BUY,13680,21,287280,상승기대감
2026-04-13 02:02:52,기가레인(049080),BUY,2465,121,298265,투자경고
2026-04-13 02:32:27,대우건설(047040),SELL,23550,12,282600,[보수] 하드 스탑 (-3% 도달: -4.3%)
2026-04-13 02:32:27,티엠씨(217590),BUY,31450,9,283050,[보수] 안정적 진입 시그널
2026-04-13 02:32:40,에이스테크(088800),SELL,5500,54,297000,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,대한해운(005880),SELL,2920,100,292000,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,대한광통신(010170),SELL,19250,16,308000,[보수] 타임 컷 (보유 3일 경과)
2026-04-13 02:32:40,쏠리드(050890),SELL,16840,16,269440,[보수] 하드 스탑 (-3% 도달: -5.0%)
