timestamp,event,model,prompt_tokens,output_tokens,total_tokens,req_stocks,resp_stocks,req_posts,req_chars,body_ok,body_fail,cache_hit,cache_miss,posts_dropped,noise_only_stocks
2026-07-29 12:13:35,run_summary,,,,,,,,,0,95,,,,
2026-07-29 12:13:37,cache_summary,,,,,,,,,,,5,14,24,0
2026-07-29 12:13:41,batch_call,gemini-2.5-flash-lite,4190,813,5003,10,10,281,6564,,,,,,
2026-07-29 12:13:43,batch_call,gemini-2.5-flash-lite,1913,350,2263,4,4,115,3264,,,,,,
2026-07-29 12:23:39,run_summary,,,,,,,,,0,95,,,,
2026-07-29 12:23:41,cache_summary,,,,,,,,,,,5,14,23,0
2026-07-29 12:23:44,batch_call,gemini-2.5-flash-lite,4151,752,4903,10,10,280,6490,,,,,,
2026-07-29 12:23:46,batch_call,gemini-2.5-flash-lite,1845,385,2230,4,4,117,3156,,,,,,
2026-07-29 12:33:23,run_summary,,,,,,,,,0,95,,,,
2026-07-29 12:33:25,cache_summary,,,,,,,,,,,7,12,17,0
2026-07-29 12:33:29,batch_call,gemini-2.5-flash-lite,4192,1005,5197,10,10,284,6539,,,,,,
2026-07-29 12:33:30,batch_call,gemini-2.5-flash-lite,1224,189,1413,2,2,59,2248,,,,,,
2026-07-29 12:43:46,run_summary,,,,,,,,,0,95,,,,
2026-07-29 12:43:48,cache_summary,,,,,,,,,,,5,14,21,0
2026-07-29 12:43:51,batch_call,gemini-2.5-flash-lite,4216,794,5010,10,10,283,6546,,,,,,
2026-07-29 12:43:53,batch_call,gemini-2.5-flash-lite,1903,450,2353,4,4,116,3237,,,,,,
2026-07-29 12:53:06,run_summary,,,,,,,,,0,100,,,,
2026-07-29 12:53:08,cache_summary,,,,,,,,,,,3,17,30,0
2026-07-29 12:53:12,batch_call,gemini-2.5-flash-lite,4249,1121,5370,10,10,283,6638,,,,,,
2026-07-29 12:53:15,batch_call,gemini-2.5-flash-lite,2875,677,3552,7,7,197,4608,,,,,,
