date,code,hhmm,price,volume
20260904,000225,1025,3635,0
20260904,000225,1026,3635,0
20260904,000225,1027,3650,4
20260904,000225,1028,3650,0
20260904,000225,1029,3650,0
20260904,000225,1030,3650,0
20260904,000225,1031,3635,3
20260904,000225,1032,3635,0
20260904,000225,1033,3630,62
20260904,000225,1034,3650,19
20260904,000225,1035,3650,0
20260904,000225,1036,3635,5
20260904,000225,1037,3635,0
20260904,000225,1038,3635,0
20260904,000225,1039,3635,0
20260904,000225,1040,3630,2
20260904,000225,1041,3630,0
20260904,000225,1042,3630,0
20260904,000225,1043,3630,0
20260904,000225,1044,3630,0
20260904,000225,1045,3630,0
20260904,000225,1046,3630,150
20260904,000225,1047,3630,120
20260904,000225,1048,3630,100
20260904,000225,1049,3630,220
20260904,000225,1050,3630,86
20260904,000225,1051,3650,149
20260904,000225,1052,3630,269
20260904,000225,1053,3645,2
20260904,000225,1054,3625,99
20260904,000225,1055,3625,0
20260904,000225,1056,3625,79
20260904,000225,1057,3625,0
20260904,000225,1058,3625,0
20260904,000225,1059,3635,3
20260904,000225,1100,3630,1
20260904,000225,1101,3630,0
20260904,000225,1102,3630,0
20260904,000225,1103,3630,0
20260904,000225,1104,3630,0
20260904,000225,1105,3620,640
20260904,000225,1106,3620,0
20260904,000225,1107,3620,0
20260904,000225,1108,3615,7
20260904,000225,1109,3615,0
20260904,000225,1110,3615,0
20260904,000225,1111,3615,0
20260904,000225,1112,3645,17
20260904,000225,1113,3645,0
20260904,000225,1114,3630,1
20260904,000225,1115,3630,0
20260904,000225,1116,3630,0
20260904,000225,1117,3630,0
20260904,000225,1118,3630,0
20260904,000225,1119,3630,0
20260904,000225,1120,3615,461
20260904,000225,1121,3615,873
20260904,000225,1122,3615,0
20260904,000225,1123,3625,30
20260904,000225,1124,3625,0
20260904,000225,1125,3625,0
20260904,000225,1126,3625,0
20260904,000225,1127,3625,0
20260904,000225,1128,3625,0
20260904,000225,1129,3625,0
20260904,000225,1130,3625,0
20260904,000225,1131,3625,0
20260904,000225,1132,3625,0
20260904,000225,1133,3625,0
20260904,000225,1134,3625,0
20260904,000225,1135,3625,0
20260904,000225,1136,3625,0
20260904,000225,1137,3625,0
20260904,000225,1138,3625,0
20260904,000225,1139,3625,0
20260904,000225,1140,3625,0
20260904,000225,1141,3625,0
20260904,000225,1142,3620,11
20260904,000225,1143,3620,0
20260904,000225,1144,3620,37
20260904,000225,1145,3620,0
20260904,000225,1146,3620,0
20260904,000225,1147,3620,0
20260904,000225,1148,3620,0
20260904,000225,1149,3620,0
20260904,000225,1150,3620,0
20260904,000225,1151,3620,0
20260904,000225,1152,3620,0
20260904,000225,1153,3635,1
20260904,000225,1154,3635,0
20260904,000225,1155,3635,0
20260904,000225,1156,3635,0
20260904,000225,1157,3635,0
20260904,000225,1158,3635,0
20260904,000225,1159,3635,0
20260904,000225,1200,3635,0
20260904,000225,1201,3635,0
20260904,000225,1202,3635,0
20260904,000225,1203,3635,0
20260904,000225,1204,3635,0
20260904,000225,1205,3635,0
20260904,000225,1206,3635,0
20260904,000225,1207,3635,0
20260904,000225,1208,3635,0
20260904,000225,1209,3635,0
20260904,000225,1210,3635,0
20260904,000225,1211,3635,0
20260904,000225,1212,3635,0
20260904,000225,1213,3635,0
20260904,000225,1214,3635,0
20260904,000225,1215,3635,0
20260904,000225,1216,3635,6
20260904,000225,1217,3635,0
20260904,000225,1218,3625,4
20260904,000225,1219,3625,0
20260904,000225,1220,3620,1
20260904,000225,1221,3620,0
20260904,000225,1222,3620,0
20260904,000225,1223,3620,0
20260904,000225,1224,3620,0
20260904,000225,1225,3620,0
20260904,000225,1226,3620,0
20260904,000225,1227,3620,0
20260904,000225,1228,3620,0
20260904,000225,1229,3620,0
20260904,000225,1230,3635,2
20260904,000225,1231,3635,0
20260904,000225,1232,3635,0
20260904,000225,1233,3635,0
20260904,000225,1234,3635,0
20260904,000225,1235,3635,0
20260904,000225,1236,3635,0
20260904,000225,1237,3635,0
20260904,000225,1238,3635,0
20260904,000225,1239,3635,0
20260904,000225,1240,3620,99
20260904,000225,1241,3620,0
20260904,000225,1242,3620,0
20260904,000225,1243,3620,0
20260904,000225,1244,3620,0
20260904,000225,1245,3620,0
20260904,000225,1246,3620,0
20260904,000225,1247,3620,0
20260904,000225,1248,3620,0
20260904,000225,1249,3620,0
20260904,000225,1250,3635,2
20260904,000225,1251,3635,1
20260904,000225,1252,3635,0
20260904,000225,1253,3635,0
20260904,000225,1254,3635,0
20260904,000225,1255,3635,0
20260904,000225,1256,3625,20
20260904,000225,1257,3625,0
20260904,000225,1258,3625,0
20260904,000225,1259,3625,0
20260904,000225,1300,3625,0
20260904,000225,1301,3625,0
20260904,000225,1302,3625,0
20260904,000225,1303,3625,0
20260904,000225,1304,3625,3
20260904,000225,1305,3625,0
20260904,000225,1306,3625,0
20260904,000225,1307,3625,0
20260904,000225,1308,3625,0
20260904,000225,1309,3625,0
20260904,000225,1310,3635,1
20260904,000225,1311,3635,0
20260904,000225,1312,3635,0
20260904,000225,1313,3635,0
20260904,000225,1314,3635,0
20260904,000225,1315,3635,40
20260904,000225,1316,3635,0
20260904,000225,1317,3635,0
20260904,000225,1318,3635,0
20260904,000225,1319,3635,0
20260904,000225,1320,3635,0
20260904,000225,1321,3635,0
20260904,000225,1322,3635,0
20260904,000225,1323,3635,0
20260904,000225,1324,3635,0
20260904,000225,1325,3635,0
20260904,000225,1326,3635,0
20260904,000225,1327,3635,0
20260904,000225,1328,3635,0
20260904,000225,1329,3635,0
20260904,000225,1330,3635,0
20260904,000225,1331,3635,0
20260904,000225,1332,3635,0
20260904,000225,1333,3635,0
20260904,000225,1334,3635,0
20260904,000225,1335,3635,0
20260904,000225,1336,3635,0
20260904,000225,1337,3635,0
20260904,000225,1338,3635,0
20260904,000225,1339,3620,171
20260904,000225,1340,3625,1
20260904,000225,1341,3625,0
20260904,000225,1342,3625,0
20260904,000225,1343,3625,0
20260904,000225,1344,3625,0
20260904,000225,1345,3625,0
20260904,000225,1346,3625,0
20260904,000225,1347,3625,0
20260904,000225,1348,3625,0
20260904,000225,1349,3625,0
20260904,000225,1350,3625,0
20260904,000225,1351,3650,3
20260904,000225,1352,3650,0
20260904,000225,1353,3650,0
20260904,000225,1354,3650,0
20260904,000225,1355,3650,0
20260904,000225,1356,3725,11820
20260904,000225,1357,3660,998
20260904,000225,1358,3685,93
20260904,000225,1359,3645,212
20260904,000225,1400,3680,101
20260904,000225,1401,3645,2277
20260904,000225,1402,3675,611
20260904,000225,1403,3690,27
20260904,000225,1404,3690,0
20260904,000225,1405,3640,90
20260904,000225,1406,3670,2
20260904,000225,1407,3745,7147
20260904,000225,1408,3755,7029
20260904,000225,1409,4045,12423
20260904,000225,1410,4045,0
20260904,000225,1411,4045,0
20260904,000225,1412,3750,11569
20260904,000225,1413,3760,2095
20260904,000225,1414,3760,6460
20260904,000225,1415,3710,4415
20260904,000225,1416,3725,396
20260904,000225,1417,3740,76
20260904,000225,1418,3715,91
20260904,000225,1419,3710,2409
20260904,000225,1420,3710,0
20260904,000225,1421,3760,1886
20260904,000225,1422,3785,32
20260904,000225,1423,3755,544
20260904,000225,1424,3760,36
20260904,000225,1425,3725,173
20260904,000225,1426,3725,245
20260904,000225,1427,3750,178
20260904,000225,1428,3755,50
20260904,000225,1429,3755,53
20260904,000225,1430,3765,130
20260904,000225,1431,3765,0
20260904,000225,1432,3765,0
20260904,000225,1433,3765,0
20260904,000225,1434,3725,193
20260904,000225,1435,3710,115
20260904,000225,1436,3765,21
20260904,000225,1437,3755,55
